Accession	BSF	PCF
Tb09.v4.0154	38.2389	0
Tb927.2.4890	0	0
Tb11.02.2810	58.5622	54.0247
Tb927.8.4430	557.3421	193.5718
Tb927.6.2170	220.5782	487.8391
Tb927.7.770	49.6266	50.5508
Tb927.10.5000	93.5128	59.671
Tb927.3.3540	59.2578	48.7408
Tb09_SLRNA_0024	0	0
Tb09.211.2650	0	0
Tb927_09_v4.snoRNA.0040	0	0
Tb927.10.10770	146.1626	126.4924
Tb927.4.1630	93.6547	125.7573
Tb927.1.770	5.1934	12.9455
Tb927.2.4550	42.9666	94.0166
Tb927_10_v4.snoRNA.0021:snoRNA	0	0
Tb10.v4.0240	0	0
Tb927.1.4100	57.8865	277.51
Tb927_09_v4.snoRNA.0035	7.4376	1.7558
Tb927.8.1490	61.1909	131.5416
Tb11.50.0003	0	0
Tb927.3.2350	59.573	44.2668
Tb927.8.1660	2.0323	2.0647
Tb927.5.4020	30.1636	276.0295
Tb927.3.5410	38.8566	61.8771
Tb927.8.8280	162.795	30.4261
Tb927.2.2650	14.009	22.7954
Tb927.3.2670	41.5366	51.1363
Tb927.10.2050	40.9916	69.4605
Tb11.02.4130	34.5841	36.1027
Tb927.6.2190	28.4365	28.0203
Tb927.7.5070	96.1301	79.8067
Tb927.8.7500	103.7224	134.9221
Tb927.8.3790	114.7262	96.9654
Tb11.01.4622	1.1274	0
Tb927.3.3810	30.7153	34.141
Tb11.02.4060	22.8712	43.9325
Tb927.5.2390	63.5737	35.8885
Tb927.7.4740	62.2263	66.6257
Tb09.211.3570	0.3118	0.1427
Tb927.10.15080	26.4954	28.7197
Tb927.7.4960	52.0647	44.2002
Tb11.01.3250	0	0
Tb927.4.5360	2.7752	1.8601
Tb927.3.200	0	0
Tb927.7.4030	44.4865	48.1752
Tb927.7.1970	0	0
Tb927.3.2200	52.8797	50.7252
Tb927.10.1890	26.2076	32.3529
Tb11.03.0190	18.652	28.4013
Tb11.0680	0	0
Tb11.02.4530	34.4608	38.0686
Tb927.4.1930	161.4596	160.8345
Tb11.01.4910	54.5182	29.5572
Tb927.1.930	0	0
Tb927.3.5720	0	0
Tb927.3.3640	24.8063	32.5972
Tb927.3.2020	24.6304	30.0939
Tb927.1.2180	19.6782	18.7113
Tb927.3.1330	19.8507	34.3407
Tb927.2.5280	71.7696	74.5633
Tb927.6.5420	0	0
Tb927.10.14890	403.5439	77.5251
Tb11.01.3740	83.5217	82.6463
Tb927.8.7040	129.0858	118.618
